ADC reading,Pressure in N/cm^2,Pressure in mmHg,Pressure in kpa 
0 ,0.033 ,2.5 ,0.33 
2 ,0.037 ,2.8 ,0.37 
3 ,0.041 ,3.1 ,0.41 
5 ,0.045 ,3.4 ,0.45 
6 ,0.049 ,3.7 ,0.49 
8 ,0.053 ,4.0 ,0.53 
9 ,0.057 ,4.3 ,0.57 
11 ,0.061 ,4.6 ,0.61 
12 ,0.065 ,4.9 ,0.65 
14 ,0.069 ,5.2 ,0.69 
15 ,0.073 ,5.5 ,0.73 
17 ,0.077 ,5.8 ,0.77 
18 ,0.081 ,6.1 ,0.81 
20 ,0.085 ,6.4 ,0.85 
21 ,0.089 ,6.7 ,0.89 
23 ,0.093 ,7.0 ,0.93 
24 ,0.097 ,7.3 ,0.97 
26 ,0.101 ,7.6 ,1.01 
27 ,0.105 ,7.9 ,1.05 
29 ,0.109 ,8.2 ,1.09 
30 ,0.113 ,8.5 ,1.13 
32 ,0.117 ,8.8 ,1.17 
33 ,0.121 ,9.1 ,1.21 
35 ,0.125 ,9.4 ,1.25 
36 ,0.129 ,9.7 ,1.29 
38 ,0.133 ,10.0 ,1.33 
39 ,0.137 ,10.3 ,1.37 
41 ,0.141 ,10.6 ,1.41 
42 ,0.145 ,10.9 ,1.45 
44 ,0.149 ,11.2 ,1.49 
45 ,0.153 ,11.5 ,1.53 
47 ,0.157 ,11.8 ,1.57 
48 ,0.161 ,12.1 ,1.61 
50 ,0.165 ,12.4 ,1.65 
51 ,0.169 ,12.7 ,1.69 
53 ,0.173 ,13.0 ,1.73 
54 ,0.177 ,13.3 ,1.77 
56 ,0.181 ,13.6 ,1.81 
57 ,0.185 ,13.9 ,1.85 
59 ,0.189 ,14.2 ,1.89 
60 ,0.193 ,14.5 ,1.93 
62 ,0.197 ,14.8 ,1.97 
63 ,0.201 ,15.1 ,2.01 
65 ,0.205 ,15.4 ,2.05 
66 ,0.209 ,15.7 ,2.09 
68 ,0.213 ,16.0 ,2.13 
69 ,0.217 ,16.3 ,2.17 
71 ,0.221 ,16.6 ,2.21 
72 ,0.225 ,16.9 ,2.25 
74 ,0.229 ,17.2 ,2.29 
75 ,0.233 ,17.5 ,2.33 
77 ,0.237 ,17.8 ,2.37 
78 ,0.241 ,18.1 ,2.41 
80 ,0.245 ,18.4 ,2.45 
81 ,0.249 ,18.7 ,2.49 
83 ,0.253 ,19.0 ,2.53 
84 ,0.257 ,19.3 ,2.57 
86 ,0.261 ,19.6 ,2.61 
87 ,0.265 ,19.9 ,2.65 
89 ,0.269 ,20.2 ,2.69 
90 ,0.273 ,20.5 ,2.73 
92 ,0.277 ,20.8 ,2.77 
93 ,0.281 ,21.1 ,2.81 
95 ,0.285 ,21.4 ,2.85 
96 ,0.289 ,21.7 ,2.89 
98 ,0.293 ,22.0 ,2.93 
99 ,0.297 ,22.3 ,2.97 
101 ,0.301 ,22.6 ,3.01 
102 ,0.305 ,22.9 ,3.05 
104 ,0.309 ,23.2 ,3.09 
105 ,0.313 ,23.5 ,3.13 
107 ,0.318 ,23.8 ,3.18 
108 ,0.323 ,24.2 ,3.23 
110 ,0.328 ,24.6 ,3.28 
111 ,0.334 ,25.0 ,3.34 
113 ,0.339 ,25.5 ,3.39 
114 ,0.349 ,26.2 ,3.49 
116 ,0.354 ,26.5 ,3.54 
117 ,0.359 ,26.9 ,3.59 
119 ,0.366 ,27.4 ,3.66 
120 ,0.373 ,28.0 ,3.73 
122 ,0.381 ,28.6 ,3.81 
123 ,0.389 ,29.2 ,3.89 
125 ,0.397 ,29.8 ,3.97 
126 ,0.406 ,30.5 ,4.06 
128 ,0.415 ,31.2 ,4.15 
129 ,0.425 ,31.9 ,4.25 
131 ,0.435 ,32.6 ,4.35 
132 ,0.446 ,33.4 ,4.46 
134 ,0.457 ,34.3 ,4.57 
135 ,0.468 ,35.1 ,4.68 
137 ,0.480 ,36.0 ,4.80 
138 ,0.492 ,36.9 ,4.92 
140 ,0.505 ,37.9 ,5.05 
141 ,0.518 ,38.9 ,5.18 
143 ,0.532 ,39.9 ,5.32 
144 ,0.547 ,41.0 ,5.47 
146 ,0.562 ,42.1 ,5.62 
147 ,0.577 ,43.3 ,5.77 
149 ,0.593 ,44.5 ,5.93 
150 ,0.610 ,45.7 ,6.10 
152 ,0.627 ,47.0 ,6.27 
153 ,0.645 ,48.3 ,6.45 
155 ,0.663 ,49.7 ,6.63 
156 ,0.682 ,51.1 ,6.82 
158 ,0.701 ,52.6 ,7.01 
159 ,0.722 ,54.1 ,7.22 
161 ,0.742 ,55.7 ,7.42 
162 ,0.764 ,57.3 ,7.64 
164 ,0.786 ,59.0 ,7.86 
165 ,0.809 ,60.7 ,8.09 
167 ,0.832 ,62.4 ,8.32 
168 ,0.857 ,64.3 ,8.57 
170 ,0.882 ,66.1 ,8.82 
171 ,0.907 ,68.1 ,9.07 
173 ,0.934 ,70.0 ,9.34 
174 ,0.961 ,72.1 ,9.61 
176 ,0.989 ,74.2 ,9.89 
177 ,1.018 ,76.3 ,10.18 
179 ,1.047 ,78.5 ,10.47 
180 ,1.077 ,80.8 ,10.77 
182 ,1.108 ,83.1 ,11.08 
183 ,1.140 ,85.5 ,11.40 
185 ,1.173 ,88.0 ,11.73 
186 ,1.206 ,90.5 ,12.06 
188 ,1.241 ,93.1 ,12.41 
189 ,1.276 ,95.7 ,12.76 
191 ,1.312 ,98.4 ,13.12 
192 ,1.349 ,101.2 ,13.49 
194 ,1.387 ,104.0 ,13.87 
195 ,1.426 ,107.0 ,14.26 
197 ,1.466 ,109.9 ,14.66 
198 ,1.506 ,113.0 ,15.06 
200 ,1.548 ,116.1 ,15.48 
201 ,1.590 ,119.3 ,15.90 
203 ,1.634 ,122.6 ,16.34 
204 ,1.678 ,125.9 ,16.78 
206 ,1.724 ,129.3 ,17.24 
207 ,1.770 ,132.8 ,17.70 
209 ,1.818 ,136.3 ,18.18 
210 ,1.866 ,140.0 ,18.66 
212 ,1.916 ,143.7 ,19.16 
213 ,1.966 ,147.5 ,19.66 
215 ,2.018 ,151.3 ,20.18 
216 ,2.070 ,155.3 ,20.70 
218 ,2.124 ,159.3 ,21.24 
219 ,2.179 ,163.4 ,21.79 
221 ,2.235 ,167.6 ,22.35 
222 ,2.292 ,171.9 ,22.92 
224 ,2.350 ,176.3 ,23.50 
225 ,2.409 ,180.7 ,24.09 
226,2.470 ,185.2 ,24.70 
228,2.531 ,189.9 ,25.31 
229,2.594 ,194.6 ,25.94 
231,2.658 ,199.4 ,26.58 
232,2.723 ,204.2 ,27.23 
234,2.789 ,209.2 ,27.89 
235,2.857 ,214.3 ,28.57 
237,2.925 ,219.4 ,29.25 
238,2.995 ,224.7 ,29.95 
240,3.066 ,230.0 ,30.66 
241,3.139 ,235.4 ,31.39 
243,3.214 ,241.0 ,32.14 
244,3.291 ,246.9 ,32.91 
246,3.373 ,253.0 ,33.73 
247,3.459 ,259.5 ,34.59 
249,3.551 ,266.4 ,35.51 
250,3.649 ,273.7 ,36.49 
252,3.755 ,281.6 ,37.55 
253,3.869 ,290.2 ,38.69 
255,3.992 ,299.4 ,39.92 
