data_seq_index,region,x_mm,y_mm
31.0,little,38.116,241.791
30.0,little,39.03,238.019
29.0,little,39.952,234.813
15.0,little,28.647,220.048
14.0,little,25.337,219.96
13.0,little,28.601,216.433
255.0,little,21.487,219.598
254.0,little,25.382,216.179
253.0,little,27.965,212.526
239.0,little,22.635,212.259
238.0,little,25.599,212.359
237.0,little,27.849,209.258
222.0,little,26.26,197.97
28.0,ring,42.398,241.975
27.0,ring,55.963,243.977
26.0,ring,59.875,247.916
12.0,ring,42.574,238.108
11.0,ring,46.357,238.351
10.0,ring,56.948,236.995
252.0,ring,40.106,231.23
251.0,ring,42.628,231.36
250.0,ring,44.962,231.359
236.0,ring,43.288,216.037
235.0,ring,43.566,205.877
234.0,ring,42.652,234.652
219.0,ring,43.706,195.258
25.0,middle,60.038,243.966
24.0,middle,63.398,244.2
23.0,middle,63.743,247.982
9.0,middle,60.102,237.093
8.0,middle,74.858,240.481
7.0,middle,79.373,240.619
249.0,middle,76.735,232.977
248.0,middle,79.893,229.76
247.0,middle,79.846,233.057
233.0,middle,60.437,222.004
232.0,middle,60.905,211.587
231.0,middle,62.701,237.292
216.0,middle,61.428,200.663
22.0,index,83.424,237.003
21.0,index,83.752,240.73
20.0,index,82.362,233.081
6.0,index,82.444,229.709
5.0,index,80.35,215.357
4.0,index,80.787,205.98
246.0,index,81.035,195.734
245.0,index,81.335,185.253
244.0,index,81.649,176.508
,index_NOTE,9.0,13.0
19.0,thumb,124.499,176.777
18.0,thumb,131.164,177.969
17.0,thumb,135.424,174.956
3.0,thumb,120.535,169.633
2.0,thumb,126.908,170.05
1.0,thumb,133.615,171.46
243.0,thumb,119.278,157.556
242.0,thumb,129.192,163.353
241.0,thumb,124.964,166.473
227.0,thumb,114.626,149.895
226.0,thumb,116.944,153.751
225.0,thumb,111.899,145.928
210.0,thumb,109.155,142.096
207.0,palm,27.631,166.547
206.0,palm,44.611,169.965
205.0,palm,40.695,153.824
204.0,palm,37.031,151.449
203.0,palm,45.088,155.987
202.0,palm,49.42,157.497
201.0,palm,53.936,158.357
200.0,palm,33.161,148.41
199.0,palm,58.662,158.771
198.0,palm,63.105,158.654
197.0,palm,67.657,158.162
196.0,palm,30.295,144.943
191.0,palm,45.939,139.004
190.0,palm,49.93,140.468
189.0,palm,54.085,141.596
188.0,palm,58.429,142.269
187.0,palm,63.316,142.488
186.0,palm,72.379,156.987
185.0,palm,67.803,142.281
184.0,palm,72.916,141.417
183.0,palm,42.04,136.942
182.0,palm,80.712,139.491
181.0,palm,63.309,127.404
180.0,palm,68.002,127.499
179.0,palm,87.327,136.762
178.0,palm,72.91,126.953
177.0,palm,93.509,134.094
175.0,palm,38.347,134.397
174.0,palm,34.764,131.415
173.0,palm,31.898,127.859
172.0,palm,46.904,124.179
171.0,palm,42.976,122.241
170.0,palm,50.539,125.279
169.0,palm,39.303,119.836
168.0,palm,54.502,126.506
167.0,palm,58.933,127.237
166.0,palm,35.787,117.032
165.0,palm,51.787,112.818
164.0,palm,48.655,111.531
163.0,palm,55.111,114.218
162.0,palm,45.687,110.048
161.0,palm,59.238,114.948
159.0,palm,42.386,107.677
158.0,palm,39.475,105.686
157.0,palm,63.3,115.281
156.0,palm,67.594,115.2
155.0,palm,78.203,125.906
154.0,palm,72.322,114.585
153.0,palm,82.889,124.421
152.0,palm,76.891,113.516
151.0,palm,87.427,122.994
150.0,palm,80.978,112.388
149.0,palm,91.471,121.768
148.0,palm,99.544,131.582
147.0,palm,95.874,120.114
146.0,palm,84.998,111.019
145.0,palm,100.735,118.745
143.0,palm,42.988,97.553
142.0,palm,45.684,98.064
141.0,palm,53.764,100.131
140.0,palm,56.926,100.693
139.0,palm,60.611,101.129
138.0,palm,64.4,101.444
137.0,palm,67.743,101.771
136.0,palm,89.524,110.301
135.0,palm,72.074,101.332
134.0,palm,94.0,109.274
133.0,palm,98.643,108.011
132.0,palm,81.155,100.639
131.0,palm,85.429,99.917
130.0,palm,90.093,99.197
129.0,palm,95.188,98.249
