data_seq_index,region,x_mm,y_mm
1001,little,38.116,241.791
1002,little,39.03,238.019
1003,little,39.952,234.813
1004,little,21.487,219.598
1005,little,21.911,216.065
1006,little,25.337,219.96
1007,little,25.382,216.179
1008,little,28.601,216.433
1009,little,28.647,220.048
1010,little,22.635,212.259
1011,little,22.948,209.197
1012,little,25.56,209.251
1013,little,25.599,212.359
1014,little,27.849,209.258
1015,little,27.965,212.526
1016,little,26.26,197.97
1017,little,26.328,190.362
1018,little,26.728,183.814
1019,little,26.89,177.23
1020,little,27.363,170.162
1021,little,27.631,166.547
2001,ring,55.219,247.921
2002,ring,55.963,243.977
2003,ring,59.875,247.916
2004,ring,42.398,241.975
2005,ring,42.574,238.108
2006,ring,46.357,238.351
2007,ring,46.374,242.115
2008,ring,57.018,240.397
2009,ring,42.652,234.652
2010,ring,45.451,234.661
2011,ring,56.948,236.995
2012,ring,40.106,231.23
2013,ring,42.628,231.36
2014,ring,44.962,231.359
2015,ring,43.288,216.037
2016,ring,43.566,205.877
2017,ring,43.706,195.258
2018,ring,43.918,184.954
2019,ring,44.078,176.978
2020,ring,44.611,169.965
3001,middle,60.038,243.966
3002,middle,63.398,244.2
3003,middle,63.743,247.982
3004,middle,60.048,240.311
3005,middle,60.102,237.093
3006,middle,62.701,237.292
3007,middle,62.702,240.525
3008,middle,74.858,240.481
3009,middle,75.843,236.378
3010,middle,79.373,240.619
3011,middle,79.636,236.656
3012,middle,76.716,229.487
3013,middle,76.735,232.977
3014,middle,79.846,233.057
3015,middle,79.893,229.76
3016,middle,60.437,222.004
3017,middle,60.905,211.587
3018,middle,61.428,200.663
3019,middle,61.792,188.916
3020,middle,62.119,178.734
3021,middle,61.927,172.317
4001,index,83.424,237.003
4002,index,83.752,240.73
4003,index,82.362,233.081
4004,index,82.444,229.709
4005,index,80.35,215.357
4006,index,80.787,205.98
4007,index,81.035,195.734
4008,index,81.335,185.253
4009,index,81.649,176.508
4010,index,81.413,171.249
5001,thumb,124.499,176.777
5002,thumb,126.464,180.798
5003,thumb,131.164,177.969
5004,thumb,122.646,173.267
5005,thumb,126.908,170.05
5006,thumb,129.21,173.962
5007,thumb,133.615,171.46
5008,thumb,135.424,174.956
5009,thumb,120.535,169.633
5010,thumb,124.964,166.473
5011,thumb,131.331,167.534
5012,thumb,129.192,163.353
5013,thumb,116.944,153.751
5014,thumb,119.278,157.556
5015,thumb,111.899,145.928
5016,thumb,114.626,149.895
5017,thumb,106.473,139.031
5018,thumb,109.155,142.096
5019,thumb,105.465,129.117
6001,palm,40.695,153.824
6002,palm,45.088,155.987
6003,palm,49.42,157.497
6004,palm,53.936,158.357
6005,palm,58.662,158.771
6006,palm,63.105,158.654
6007,palm,67.657,158.162
6008,palm,72.379,156.987
6009,palm,33.161,148.41
6010,palm,37.031,151.449
6011,palm,30.295,144.943
6012,palm,49.93,140.468
6013,palm,54.085,141.596
6014,palm,58.429,142.269
6015,palm,63.316,142.488
6016,palm,67.803,142.281
6017,palm,72.916,141.417
6018,palm,42.04,136.942
6019,palm,45.939,139.004
6020,palm,80.712,139.491
6021,palm,87.327,136.762
6022,palm,34.764,131.415
6023,palm,38.347,134.397
6024,palm,93.509,134.094
6025,palm,99.544,131.582
6026,palm,31.898,127.859
6027,palm,46.904,124.179
6028,palm,50.539,125.279
6029,palm,54.502,126.506
6030,palm,58.933,127.237
6031,palm,63.309,127.404
6032,palm,68.002,127.499
6033,palm,72.91,126.953
6034,palm,78.203,125.906
6035,palm,82.889,124.421
6036,palm,87.427,122.994
6037,palm,39.303,119.836
6038,palm,42.976,122.241
6039,palm,91.471,121.768
6040,palm,95.874,120.114
6041,palm,100.735,118.745
6042,palm,35.787,117.032
6043,palm,51.787,112.818
6044,palm,55.111,114.218
6045,palm,59.238,114.948
6046,palm,63.3,115.281
6047,palm,67.594,115.2
6048,palm,72.322,114.585
6049,palm,76.891,113.516
6050,palm,80.978,112.388
6051,palm,42.386,107.677
6052,palm,45.687,110.048
6053,palm,48.655,111.531
6054,palm,84.998,111.019
6055,palm,89.524,110.301
6056,palm,94.0,109.274
6057,palm,98.643,108.011
6058,palm,39.475,105.686
6059,palm,56.926,100.693
6060,palm,60.611,101.129
6061,palm,64.4,101.444
6062,palm,67.743,101.771
6063,palm,72.074,101.332
6064,palm,76.508,101.073
6065,palm,40.307,97.035
6066,palm,42.988,97.553
6067,palm,45.684,98.064
6068,palm,48.272,98.585
6069,palm,51.135,99.359
6070,palm,53.764,100.131
6071,palm,81.155,100.639
6072,palm,85.429,99.917
6073,palm,90.093,99.197
6074,palm,95.188,98.249
