sensor_id,x_mm,y_mm,region,data_frame_index
1,63.743,247.982,middle_tip,25
2,55.219,247.921,middle_tip,24
3,59.875,247.916,middle_tip,23
4,63.398,244.2,middle_tip,9
5,55.963,243.977,middle_tip,8
6,60.038,243.966,middle_tip,7
7,46.374,242.115,ring_tip,28
8,42.398,241.975,ring_tip,27
9,38.116,241.791,ring_tip,26
10,83.752,240.73,index_tip,22
11,79.373,240.619,index_tip,21
12,62.702,240.525,middle_tip,249
13,74.858,240.481,index_tip,20
14,57.018,240.397,middle_tip,248
15,60.048,240.311,middle_tip,247
16,46.357,238.351,ring_tip,12
17,42.574,238.108,ring_tip,11
18,39.03,238.019,ring_tip,10
19,62.701,237.292,middle_tip,233
20,60.102,237.093,middle_tip,232
21,83.424,237.003,index_tip,6
22,56.948,236.995,middle_tip,231
23,79.636,236.656,index_tip,5
24,75.843,236.378,index_tip,4
25,39.952,234.813,ring_tip,252
26,45.451,234.661,ring_tip,251
27,42.652,234.652,ring_tip,250
28,82.362,233.081,index_tip,246
29,79.846,233.057,index_tip,245
30,76.735,232.977,index_tip,244
31,42.628,231.36,ring_tip,236
32,44.962,231.359,ring_tip,235
33,40.106,231.23,ring_tip,234
34,79.893,229.76,index_tip,230
35,82.444,229.709,index_tip,229
36,76.716,229.487,index_tip,228
37,60.437,222.004,middle_body,216
38,28.647,220.048,little_tip,31
39,25.337,219.96,little_tip,30
40,21.487,219.598,little_tip,29
41,28.601,216.433,little_tip,15
42,25.382,216.179,little_tip,14
43,21.911,216.065,little_tip,13
44,43.288,216.037,ring_body,219
45,80.35,215.357,index_body,213
46,27.965,212.526,little_tip,255
47,25.599,212.359,little_tip,254
48,22.635,212.259,little_tip,253
49,60.905,211.587,middle_body,216
50,27.849,209.258,little_tip,239
51,25.56,209.251,little_tip,238
52,22.948,209.197,little_tip,237
53,80.787,205.98,index_body,213
54,43.566,205.877,ring_body,219
55,61.428,200.663,middle_body,216
56,26.26,197.97,little_body,222
57,81.035,195.734,index_body,213
58,43.706,195.258,ring_body,219
59,26.328,190.362,little_body,222
60,61.792,188.916,middle_body,216
61,81.335,185.253,index_body,213
62,43.918,184.954,ring_body,219
63,26.728,183.814,little_body,222
64,126.464,180.798,thumb_tip,19
65,62.119,178.734,middle_body,216
66,131.164,177.969,thumb_tip,18
67,26.89,177.23,little_body,222
68,44.078,176.978,ring_body,219
69,124.499,176.777,thumb_tip,17
70,81.649,176.508,index_body,213
71,135.424,174.956,thumb_tip,3
72,129.21,173.962,thumb_tip,2
73,122.646,173.267,thumb_tip,1
74,61.927,172.317,middle_body,216
75,133.615,171.46,thumb_tip,243
76,81.413,171.249,index_body,213
77,27.363,170.162,little_body,222
78,126.908,170.05,thumb_tip,242
79,44.611,169.965,ring_body,219
80,120.535,169.633,thumb_tip,241
81,131.331,167.534,thumb_tip,227
82,27.631,166.547,little_body,222
83,124.964,166.473,thumb_tip,226
84,129.192,163.353,thumb_tip,225
85,58.662,158.771,palm,207
86,63.105,158.654,palm,206
87,53.936,158.357,palm,205
88,67.657,158.162,palm,204
89,119.278,157.556,thumb_body,210
90,49.42,157.497,palm,203
91,72.379,156.987,palm,202
92,45.088,155.987,palm,201
93,40.695,153.824,palm,200
94,116.944,153.751,thumb_body,210
95,37.031,151.449,palm,199
96,114.626,149.895,thumb_body,210
97,33.161,148.41,palm,198
98,111.899,145.928,thumb_body,210
99,30.295,144.943,palm,197
100,63.316,142.488,palm,196
101,67.803,142.281,palm,191
102,58.429,142.269,palm,190
103,109.155,142.096,thumb_body,210
104,54.085,141.596,palm,189
105,72.916,141.417,palm,188
106,49.93,140.468,palm,187
107,80.712,139.491,palm,186
108,106.473,139.031,thumb_body,210
109,45.939,139.004,palm,185
110,42.04,136.942,palm,184
111,87.327,136.762,palm,183
112,38.347,134.397,palm,182
113,93.509,134.094,palm,181
114,99.544,131.582,palm,180
115,34.764,131.415,palm,179
116,105.465,129.117,palm,178
117,31.898,127.859,palm,177
118,68.002,127.499,palm,175
119,63.309,127.404,palm,174
120,58.933,127.237,palm,173
121,72.91,126.953,palm,172
122,54.502,126.506,palm,171
123,78.203,125.906,palm,170
124,50.539,125.279,palm,169
125,82.889,124.421,palm,168
126,46.904,124.179,palm,167
127,87.427,122.994,palm,166
128,42.976,122.241,palm,165
129,91.471,121.768,palm,164
130,95.874,120.114,palm,163
131,39.303,119.836,palm,162
132,100.735,118.745,palm,161
133,35.787,117.032,palm,159
134,63.3,115.281,palm,158
135,67.594,115.2,palm,157
136,59.238,114.948,palm,156
137,72.322,114.585,palm,155
138,55.111,114.218,palm,154
139,76.891,113.516,palm,153
140,51.787,112.818,palm,152
141,80.978,112.388,palm,151
142,48.655,111.531,palm,150
143,84.998,111.019,palm,149
144,89.524,110.301,palm,148
145,45.687,110.048,palm,147
146,94.0,109.274,palm,146
147,98.643,108.011,palm,145
148,42.386,107.677,palm,143
149,39.475,105.686,palm,142
150,67.743,101.771,palm,141
151,64.4,101.444,palm,140
152,72.074,101.332,palm,139
153,60.611,101.129,palm,138
154,76.508,101.073,palm,137
155,56.926,100.693,palm,136
156,81.155,100.639,palm,135
157,53.764,100.131,palm,134
158,85.429,99.917,palm,133
159,51.135,99.359,palm,132
160,90.093,99.197,palm,131
161,48.272,98.585,palm,130
162,95.188,98.249,palm,129
163,45.684,98.064,palm,-1
164,42.988,97.553,palm,-1
165,40.307,97.035,palm,-1
